Time,Channel B
(ns),(mV)

225.99999605,-9.97047100
226.49999604,-9.85113100
226.99999602,-9.79330700
227.49999601,-9.79330700
227.99999599,-9.84559500
228.49999598,-9.94279000
228.99999597,-10.05290000
229.49999595,-10.17163000
229.99999594,-10.11688000
230.49999592,-9.88988600
230.99999591,-9.78284900
231.49999590,-9.80437900
231.99999588,-9.80991600
232.49999587,-9.80991600
232.99999585,-9.81237700
233.49999584,-9.82344900
233.99999582,-9.76870100
234.49999581,-9.64936000
234.99999580,-9.64382400
235.49999578,-9.74101800
235.99999577,-9.90342000
236.49999575,-10.11934000
236.99999574,-10.17163000
237.49999573,-10.05290000
237.99999571,-9.94279000
238.49999570,-9.84559500
238.99999568,-9.79330700
239.49999567,-9.79330700
239.99999565,-9.84559500
240.49999564,-9.94279000
240.99999563,-10.04983000
241.49999561,-10.15810000
241.99999560,-10.15810000
242.49999558,-10.04983000
242.99999557,-9.94033000
243.49999556,-9.83206100
243.99999554,-9.83759800
244.49999553,-9.96739700
244.99999551,-9.96739700
245.49999550,-9.83759800
245.99999549,-9.83452200
246.49999547,-9.95386200
246.99999546,-10.01415000
247.49999544,-10.02522000
247.99999543,-9.91264700
248.49999541,-9.67458200
248.99999540,-9.67704200
249.49999539,-9.92618100
249.99999537,-9.98400600
250.49999536,-9.85420700
250.99999534,-9.79330700
251.49999533,-9.79330700
251.99999532,-9.84867000
252.49999530,-9.95632300
252.99999529,-10.00861000
253.49999527,-9.99753900
253.99999526,-10.00062000
254.49999524,-10.02215000
254.99999523,-9.91510800
255.49999522,-9.68811500
255.99999520,-9.63336600
256.49999519,-9.75209100
256.99999517,-9.86774200
257.49999516,-9.98646600
257.99999515,-9.93171700
258.49999513,-9.70472400
258.99999512,-9.59768700
259.49999510,-9.61921700
259.99999509,-9.61921700
260.49999508,-9.59768700
260.99999506,-9.70718500
261.49999505,-9.94525100
261.99999503,-9.93971300
262.49999502,-9.68011800
262.99999500,-9.67458200
263.49999499,-9.91264700
263.99999498,-10.02768000
264.49999496,-10.02768000
264.99999495,-9.91818300
265.49999493,-9.70164800
265.99999492,-9.59461100
266.49999491,-9.60568300
266.99999489,-9.66043300
267.49999488,-9.75762700
267.99999486,-9.86466500
268.49999485,-9.97293300
268.99999483,-9.96739700
269.49999482,-9.83759800
269.99999481,-9.83759800
270.49999479,-9.96739700
270.99999478,-9.97293300
271.49999476,-9.86466500
271.99999475,-9.75209100
272.49999474,-9.63336600
272.99999472,-9.69365100
273.49999471,-9.94279000
273.99999469,-9.94525100
274.49999468,-9.70718500
274.99999466,-9.59461100
275.49999465,-9.60568300
275.99999464,-9.66350800
276.49999462,-9.77116100
276.99999461,-9.82652600
277.49999459,-9.82652600
277.99999458,-9.76870100
278.49999457,-9.64936000
278.99999455,-9.64689900
279.49999454,-9.75516700
279.99999452,-9.86220500
280.49999451,-9.95939900
280.99999450,-10.01415000
281.49999448,-10.02522000
281.99999447,-9.91510800
282.49999445,-9.68811500
282.99999444,-9.63582600
283.49999442,-9.76562400
283.99999441,-9.82652600
284.49999440,-9.82652600
284.99999438,-9.77116100
285.49999437,-9.66350800
285.99999435,-9.61122000
286.49999434,-9.62229300
286.99999433,-9.61921700
287.49999431,-9.59768700
287.99999430,-9.70164800
288.49999428,-9.91818300
288.99999427,-10.02215000
289.49999425,-10.00062000
289.99999424,-9.99261800
290.49999423,-9.98154500
290.99999421,-10.03383000
291.49999420,-10.14149000
291.99999418,-10.19685000
292.49999417,-10.19685000
292.99999416,-10.14702000
293.49999414,-10.06090000
293.99999413,-9.90157400
294.49999411,-9.68565500
294.99999410,-9.63336600
295.49999409,-9.75209100
295.99999407,-9.86466500
296.49999406,-9.97293300
296.99999404,-9.97293300
297.49999403,-9.86466500
297.99999401,-9.75762700
298.49999400,-9.66043300
298.99999399,-9.60568300
299.49999397,-9.59461100
299.99999396,-9.70164800
300.49999394,-9.91818300
300.99999393,-10.02215000
301.49999392,-10.00062000
301.99999390,-10.00062000
302.49999389,-10.02215000
302.99999387,-9.91818300
303.49999386,-9.70164800
303.99999384,-9.58907400
304.49999383,-9.57800100
304.99999382,-9.74286400
305.49999380,-10.07812000
305.99999379,-10.18516000
306.49999377,-10.05536000
306.99999376,-9.94033000
307.49999375,-9.83206100
307.99999373,-9.83452200
308.49999372,-9.95386200
308.99999370,-10.01415000
309.49999369,-10.02522000
309.99999368,-9.91264700
310.49999366,-9.67458200
310.99999365,-9.67458200
311.49999363,-9.91264700
311.99999362,-10.02215000
312.49999360,-10.00062000
312.99999359,-10.00062000
313.49999358,-10.02215000
313.99999356,-9.91510800
314.49999355,-9.68811500
314.99999353,-9.63336600
315.49999352,-9.75209100
315.99999351,-9.86774200
316.49999349,-9.98646600
316.99999348,-9.93171700
317.49999346,-9.70472400
317.99999345,-9.59461100
318.49999343,-9.60568300
318.99999342,-9.66350800
319.49999341,-9.77116100
319.99999339,-9.82098900
320.49999338,-9.79884200
320.99999336,-9.85420700
321.49999335,-9.98400600
321.99999334,-9.92864100
322.49999332,-9.69119100
322.99999331,-9.63336600
323.49999329,-9.75209100
323.99999328,-9.85912800
324.49999327,-9.94586600
324.99999325,-10.05290000
325.49999324,-10.17163000
325.99999322,-10.11380000
326.49999321,-9.87635300
326.99999319,-9.82406500
327.49999318,-9.96493600
327.99999317,-9.97047100
328.49999315,-9.85113100
328.99999314,-9.79884200
329.49999312,-9.82098900
329.99999311,-9.76562400
330.49999310,-9.63582600
330.99999308,-9.69365100
331.49999307,-9.94279000
331.99999305,-9.94832700
332.49999304,-9.72133400
332.99999302,-9.55585600
333.49999301,-9.45866100
333.99999300,-9.46419700
334.49999298,-9.58353800
334.99999297,-9.63582600
335.49999295,-9.61368100
335.99999294,-9.66043300
336.49999293,-9.75762700
336.99999291,-9.86774200
337.49999290,-9.98646600
337.99999288,-9.92864100
338.49999287,-9.69119100
338.99999285,-9.63029000
339.49999284,-9.73855800
339.99999283,-9.90649500
340.49999281,-10.13349000
340.99999280,-10.12795000
341.49999278,-9.87881400
341.99999277,-9.82098900
342.49999276,-9.95078800
342.99999274,-10.00615000
343.49999273,-9.98400600
343.99999271,-10.03076000
344.49999270,-10.12795000
344.99999269,-10.23807000
345.49999267,-10.35679000
345.99999266,-10.30450000
346.49999264,-10.08858000
346.99999263,-9.92618100
347.49999261,-9.82898600
347.99999260,-9.84005800
348.49999259,-9.98092900
348.99999257,-9.92864100
349.49999256,-9.69119100
349.99999254,-9.63890200
350.49999253,-9.77977300
350.99999252,-9.78223300
351.49999250,-9.65243500
351.99999249,-9.64689900
352.49999247,-9.75516700
352.99999246,-9.86466500
353.49999244,-9.97293300
353.99999243,-9.97047100
354.49999242,-9.85113100
354.99999240,-9.79084600
355.49999239,-9.77977300
355.99999237,-9.88988600
356.49999236,-10.11688000
356.99999235,-10.17470000
357.49999233,-10.06644000
357.99999232,-9.89849900
358.49999230,-9.67150600
358.99999229,-9.67150600
359.49999228,-9.89849900
359.99999226,-10.05844000
360.49999225,-10.13349000
360.99999223,-10.24053000
361.49999222,-10.37033000
361.99999220,-10.26329000
362.49999219,-9.92802600
362.99999218,-9.76870100
363.49999216,-9.80191900
363.99999215,-9.81237700
364.49999213,-9.82344900
364.99999212,-9.76562400
365.49999211,-9.63582600
365.99999209,-9.69119100
366.49999208,-9.92864100
366.99999206,-9.98646600
367.49999205,-9.86774200
367.99999203,-9.74963100
368.49999202,-9.61983200
368.99999201,-9.73240600
369.49999199,-10.08920000
369.99999198,-10.14395000
370.49999196,-9.89542300
370.99999195,-9.77731200
371.49999194,-9.77731200
371.99999192,-9.88988600
372.49999191,-10.11688000
372.99999189,-10.16917000
373.49999188,-10.03937000
373.99999187,-9.98400600
374.49999185,-10.00615000
374.99999184,-9.95386200
375.49999182,-9.83452200
375.99999181,-9.83759800
376.49999179,-9.96739700
376.99999178,-9.97293300
377.49999177,-9.86466500
377.99999175,-9.75516700
378.49999174,-9.64689900
378.99999172,-9.64689900
379.49999171,-9.75516700
379.99999170,-9.86466500
380.49999168,-9.97293300
380.99999167,-9.97293300
381.49999165,-9.86466500
381.99999164,-9.75762700
382.49999162,-9.66043300
382.99999161,-9.60814500
383.49999160,-9.60814500
383.99999158,-9.66043300
384.49999157,-9.75762700
384.99999155,-9.86466500
385.49999154,-9.97293300
385.99999153,-9.96739700
386.49999151,-9.83759800
386.99999150,-9.83206100
387.49999148,-9.94033000
387.99999147,-10.04983000
388.49999145,-10.15810000
388.99999144,-10.15563000
389.49999143,-10.03629000
389.99999141,-9.98154500
390.49999140,-9.99261800
390.99999138,-9.99507800
391.49999137,-9.99507800
391.99999136,-9.99753900
392.49999134,-10.00861000
392.99999133,-9.95939900
393.49999131,-9.86220500
393.99999130,-9.75516700
394.49999129,-9.64689900
394.99999127,-9.64689900
395.49999126,-9.75516700
395.99999124,-9.86774200
396.49999123,-9.98646600
396.99999121,-9.92864100
397.49999120,-9.69119100
397.99999119,-9.63582600
398.49999117,-9.76562400
398.99999116,-9.82344900
399.49999114,-9.81237700
399.99999113,-9.80745600
400.49999112,-9.79638200
400.99999110,-9.85420700
401.49999109,-9.98400600
401.99999107,-9.92864100
402.49999106,-9.69119100
402.99999104,-9.63029000
403.49999103,-9.73855800
403.99999102,-9.90342000
404.49999100,-10.11934000
404.99999099,-10.17163000
405.49999097,-10.05290000
405.99999096,-9.94033000
406.49999095,-9.83206100
406.99999093,-9.83452200
407.49999092,-9.95386200
407.99999090,-10.00861000
408.49999089,-9.99753900
408.99999088,-10.00062000
409.49999086,-10.02215000
409.99999085,-9.91264700
410.49999083,-9.67458200
410.99999082,-9.67150600
411.49999080,-9.89849900
411.99999079,-10.06398000
412.49999078,-10.16117000
412.99999076,-10.15810000
413.49999075,-10.04983000
413.99999073,-9.94586600
414.49999072,-9.85912800
414.99999071,-9.75762700
