Time,Voltage
(ns),(mV)

1778,-0.864296
1780,-0.691437
1782,-0.345719
1784,-0.864296
1786,-0.345719
1788,-0.691437
1790,-0.518578
1792,-0.691437
1794,-0.518578
1796,-0.691437
1798,-0.518578
1800,-0.691437
1802,-0.345719
1804,-0.691437
1806,-0.345719
1808,-0.691437
1810,-0.518578
1812,-0.691437
1814,-0.518578
1816,-0.864296
1818,-0.345719
1820,-0.518578
1822,-0.345719
1824,-0.518578
1826,-0.518578
1828,-0.172859
1830,-0.345719
1832,-0.518578
1834,-0.345719
1836,-0.518578
1838,-0.345719
1840,-0.518578
1842,-0.345719
1844,-0.691437
1846,-0.691437
1848,-1.03716
1850,-0.691437
1852,-0.691437
1854,-0.518578
1856,-0.864296
1858,-0.864296
1860,-0.864296
1862,-0.864296
1864,-0.864296
1866,-0.691437
1868,-0.691437
1870,-0.691437
1872,-0.691437
1874,-0.518578
1876,-0.518578
1878,-0.345719
1880,-0.691437
1882,-0.345719
1884,-0.691437
1886,-0.345719
1888,-0.345719
1890,-0.518578
1892,-0.691437
1894,-0.518578
1896,-0.864296
1898,-0.864296
1900,-0.691437
1902,-0.691437
1904,-1.03716
1906,-0.864296
1908,-1.03716
1910,-1.03716
1912,-1.21001
1914,-1.03716
1916,-1.21001
1918,-0.864296
1920,-0.864296
1922,-1.03716
1924,-0.864296
1926,-1.03716
1928,-1.21001
1930,-0.864296
1932,-0.691437
1934,-0.691437
1936,-0.864296
1938,-0.691437
1940,-0.691437
1942,-0.518578
1944,-0.691437
1946,-0.345719
1948,-0.691437
1950,-0.691437
1952,-0.691437
1954,-0.518578
1956,-0.864296
1958,-0.518578
1960,-0.864296
1962,-0.691437
1964,-0.345719
1966,-0.518578
1968,-0.691437
1970,-0.518578
1972,-0.691437
1974,-0.691437
1976,-0.691437
1978,-0.518578
1980,-0.691437
1982,-0.345719
1984,-0.518578
1986,-0.345719
1988,-0.345719
1990,-0.172859
1992,-0.691437
1994,-0.691437
1996,-0.518578
1998,-0.345719
2000,-0.345719
2002,-0.518578
2004,-0.864296
2006,-0.345719
2008,-0.864296
2010,-0.691437
2012,-0.691437
2014,-0.691437
2016,-0.864296
2018,-0.864296
2020,-0.864296
2022,-0.691437
2024,-0.864296
2026,-0.864296
2028,-0.691437
2030,-0.345719
2032,-0.691437
2034,-0.518578
2036,-0.691437
2038,-0.345719
2040,-0.691437
2042,-0.691437
2044,-0.691437
2046,-0.518578
